source,target,weight,count,source_label,target_label
100,1,0.036674817,60,identificar,JEP
101,1,0.026894866,44,Raworth,JEP
102,1,0.025672372,42,F. Mathias,JEP
103,1,0.019559902,32,Ortega,JEP
104,1,0.017726161,29,Díaz-Lastra,JEP
105,1,0.017114914,28,Fernández Retamar,JEP
106,1,0.017114914,28,Usigli,JEP
107,1,0.017114914,28,Sosnowski,JEP
108,1,0.015892421,26,Brotherston,JEP
109,1,0.015281174,25,Goytisolo,JEP
110,1,0.015281174,25,Hoeksema,JEP
111,1,0.015281174,25,Campbell,JEP
112,1,0.013447433,22,Andújar,JEP
113,1,0.013447433,22,Aridjis,JEP
114,1,0.012836186,21,Christ,JEP
115,1,0.012836186,21,Muchnik,JEP
116,1,0.010391198,17,Donoso,JEP
117,1,0.010391198,17,Uribe,JEP
118,1,0.009779951,16,Rojo,JEP
119,1,0.009779951,16,Grande,JEP
120,1,0.009779951,16,Ullán,JEP
121,1,0.009779951,16,Rama,JEP
122,1,0.009779951,16,J. Valdés,JEP
123,1,0.009168704,15,Schlesinger,JEP
124,1,0.009168704,15,Pitol,JEP
125,1,0.008557457,14,Gutiérrez Vega,JEP
126,1,0.008557457,14,Michel Fossey,JEP
127,1,0.008557457,14,Florescano,JEP
128,1,0.008557457,14,Gustavo Cobo Borda,JEP
129,1,0.00794621,13,Lastra,JEP
130,1,0.00794621,13,Alfonso Diez,JEP
131,1,0.00794621,13,Flores,JEP
132,1,0.00794621,13,Monsiváis,JEP
133,1,0.007334963,12,Ferreira de Loanda,JEP
134,1,0.007334963,12,McWhirter,JEP
135,1,0.007334963,12,Espresate,JEP
136,1,0.006723716,11,Flores Castro,JEP
137,1,0.006723716,11,Nandino,JEP
138,1,0.006723716,11,Villanueva,JEP
139,1,0.006723716,11,Martin,JEP
140,1,0.006723716,11,Armando Epple,JEP
141,1,0.006723716,11,Fuentes,JEP
142,1,0.006723716,11,Manjarrez,JEP
143,1,0.006723716,11,Durán,JEP
144,1,0.006723716,11,Burgos,JEP
145,1,0.006112469,10,Novo,JEP
146,1,0.006112469,10,J. Verani,JEP
147,1,0.006112469,10,Muchnick,JEP
148,1,0.006112469,10,Salazar Bondy,JEP
149,1,0.006112469,10,Connor,JEP
150,1,0.006112469,10,Carballido,JEP
151,1,0.005501222,9,Sucre,JEP
152,1,0.005501222,9,Gonzales,JEP
153,1,0.005501222,9,Solís,JEP
154,1,0.005501222,9,Scheer,JEP
155,1,0.005501222,9,Baciu,JEP
156,1,0.005501222,9,Franco,JEP
157,1,0.005501222,9,Miguel Oviedo,JEP
158,1,0.005501222,9,Figueroa,JEP
159,1,0.005501222,9,Balcells,JEP
160,1,0.005501222,9,Quessep,JEP
161,1,0.004889976,8,Álvarez Murena,JEP
162,1,0.004889976,8,Benítez,JEP
163,1,0.004889976,8,M. Pérez Ponce,JEP
164,1,0.004889976,8,Vidal Buzzi,JEP
165,1,0.004889976,8,Bianco,JEP
166,1,0.004889976,8,Orfila,JEP
167,1,0.004278729,7,A. Schulman,JEP
168,1,0.004278729,7,C. Broderick,JEP
169,1,0.004278729,7,Paley Francescato,JEP
170,1,0.004278729,7,Rivero,JEP
171,1,0.004278729,7,de Costa,JEP
172,1,0.004278729,7,Usigli,JEP
173,1,0.003667482,6,Vázquez Amaral,JEP
174,1,0.003667482,6,Ivask,JEP
175,1,0.003667482,6,Glassgold,JEP
176,1,0.003667482,6,Betsy Edwards,JEP
177,1,0.003667482,6,de Undurraga,JEP
178,1,0.003667482,6,Roggiano,JEP
179,1,0.003667482,6,Xirau,JEP
180,1,0.003667482,6,Barnet,JEP
181,1,0.003667482,6,Antonio Peñalosa,JEP
182,1,0.003667482,6,Peden,JEP
183,1,0.003667482,6,Pilar Donoso,JEP
184,1,0.003667482,6,Rebaza-Soraluz,JEP
185,1,0.003667482,6,Durand,JEP
186,1,0.003667482,6,Gálvez,JEP
187,1,0.003667482,6,E. Tanck,JEP
188,1,0.003667482,6,Sommers,JEP
189,1,0.003667482,6,Cortínez,JEP
190,1,0.003667482,6,Rovinski,JEP
191,1,0.003667482,6,Ayala,JEP
192,1,0.003667482,6,M. Cohen,JEP
193,1,0.003667482,6,Cornejo Polar,JEP
194,1,0.003667482,6,Mantero,JEP
195,1,0.003667482,6,Vitale,JEP
196,1,0.003667482,6,Caracciolo-Trejo,JEP
197,1,0.003056235,5,García Terrés,JEP
198,1,0.003056235,5,Curland,JEP
199,1,0.003056235,5,Messerli,JEP
200,1,0.003056235,5,Marqués,JEP
201,1,0.003056235,5,Jiménez,JEP
202,1,0.003056235,5,Varela,JEP
203,1,0.003056235,5,Barros Sierra,JEP
204,1,0.003056235,5,Oliveros,JEP
205,1,0.003056235,5,del Amo,JEP
206,1,0.003056235,5,Zaid,JEP
207,1,0.003056235,5,María y Campos,JEP
208,1,0.003056235,5,Charry Lara,JEP
209,1,0.003056235,5,de Campos,JEP
210,1,0.003056235,5,Livermore,JEP
211,1,0.003056235,5,Rivera,JEP
212,1,0.003056235,5,Ford,JEP
213,1,0.003056235,5,P. Debicki,JEP
214,1,0.003056235,5,Fernández Christlieb,JEP
215,1,0.003056235,5,García Oropeza,JEP
216,1,0.003056235,5,de Cortanze,JEP
217,1,0.003056235,5,Armand,JEP
218,1,0.003056235,5,Vicente Melo,JEP
219,1,0.003056235,5,García Ponce,JEP
220,1,0.003056235,5,Rubman,JEP
221,1,0.003056235,5,M. Gross,JEP
222,1,0.003056235,5,Luis Martínez,JEP
223,1,0.003056235,5,Luis Merino,JEP
224,1,0.003056235,5,*Fernando,JEP
225,1,0.003056235,5,*Ana,JEP
226,1,0.003056235,5,María Guelbenzu,JEP
227,1,0.003056235,5,Alonzo,JEP
228,1,0.003056235,5,Antonio de Villena,JEP
229,1,0.003056235,5,Rodríguez Feo,JEP
230,1,0.003056235,5,Orrillo,JEP
231,1,0.003056235,5,Fuentes,JEP
232,1,0.003056235,5,H. Rubman,JEP
233,1,0.002444988,4,Márquez Balderas,JEP
234,1,0.002444988,4,E. Kirwan,JEP
235,1,0.002444988,4,Aguilar Mora,JEP
236,1,0.002444988,4,Zekeli,JEP
237,1,0.002444988,4,Ortiz Gil,JEP
238,1,0.002444988,4,M.,JEP
239,1,0.002444988,4,y Betty Lafer,JEP
240,1,0.002444988,4,W. Phillips,JEP
241,1,0.002444988,4,L. Brown,JEP
242,1,0.002444988,4,María Valverde,JEP
243,1,0.002444988,4,Dauster,JEP
244,1,0.002444988,4,Emilia Pacheco,JEP
245,1,0.002444988,4,M. Pavón Abreu,JEP
246,1,0.002444988,4,Neumann,JEP
247,1,0.002444988,4,M. Dorn,JEP
248,1,0.002444988,4,Vargas LLosa,JEP
249,1,0.002444988,4,García Cantú,JEP
250,1,0.002444988,4,Aguilera Díaz,JEP
251,1,0.002444988,4,Montes de Oca,JEP
252,1,0.002444988,4,Cantú,JEP
253,1,0.002444988,4,González Casanova,JEP
254,1,0.002444988,4,Seix,JEP
255,1,0.002444988,4,Bockus Aponte,JEP
256,1,0.002444988,4,Layera,JEP
257,1,0.002444988,4,Díaz García,JEP
258,1,0.002444988,4,Andrade,JEP
259,1,0.002444988,4,A. Solé,JEP
260,1,0.002444988,4,Vitale,JEP
261,1,0.002444988,4,Will,JEP
262,1,0.002444988,4,Muchik,JEP
263,1,0.002444988,4,Reid,JEP
264,1,0.002444988,4,Steele,JEP
265,1,0.002444988,4,Murúa,JEP
266,1,0.002444988,4,Schon,JEP
267,1,0.002444988,4,Sabato,JEP
268,1,0.002444988,4,Silva Herzog,JEP
269,1,0.002444988,4,Menton,JEP
270,1,0.002444988,4,M. Livesey-McCauley,JEP
271,1,0.002444988,4,Quintero Mena,JEP
272,1,0.002444988,4,G. Earle,JEP
273,1,0.002444988,4,Feodoroff,JEP
274,1,0.002444988,4,Baranda Berrón,JEP
275,1,0.002444988,4,Ruiz de Torres,JEP
276,1,0.002444988,4,Jitrik,JEP
277,1,0.002444988,4,Krauze,JEP
278,1,0.002444988,4,Couffon,JEP
279,1,0.002444988,4,y Rita,JEP
280,1,0.002444988,4,M. Cluff,JEP
281,1,0.002444988,4,Leal,JEP
282,1,0.002444988,4,Coleman,JEP
283,1,0.002444988,4,Verástegui,JEP
284,1,0.001833741,3,Osorio,JEP
