descripción,institución,autor_destinatario,fecha_original,fecha,fecha2,fecha_completa,cantidad,fecha_respuesta,cantidad_r,,,,,,,,,,,,,,,,,,,
,,Luis Cernuda,,,,,,1963-10-20,1,,,,,,,,,,,,,,,,,,,
,,Carlos Monsiváis,,,,,,1968-10-17,1,,,,,,,,,,,,,,,,,,,
,,Julio Ortega,,,,,,1969-03-05,1,,,,,,,,,,,,,,,,,,,
,,Henrique González Casanova,,,,,,1969-06-11,1,,,,,,,,,,,,,,,,,,,
,,James F. Mathias,,,,,,1969-12-29,1,,,,,,,,,,,,,,,,,,,
"""Muy querido y admirado maestro""; sobre el cincuentenario de Zozobra, de López Velarde",,Rodolfo Usigli,,,,,,1969-07-20,1,,,,,,,,,,,,,,,,,,,
,World Books,"""Dear sirs""",,,,,,1968-07-11,1,,,,,,,,,,,,,,,,,,,
"recibió telegrama; agradecimientos por ""stopgap cheque""",,"""Dear sirs""",,,,,,null,1,,,,,,,,,,,,,,,,,,,
"advertisement nappies, talcum powder, pregunta por suscripción",,"""Dear sir""",,,,,,null,1,,,,,,,,,,,,,,,,,,,
"La postal fue enviada desde Pekín, tal vez en 1963 (null)",,Sergio Pitol,07/08/63; 03/10/63; 20/11/63; 02/12/63; 28/01/64; 11/05/64; 22/11/65; 23/03/66; null,,,,9,,,,,,,,,,,,,,,,,,,,,
,,Mike Gonzales,16/01/69,,,,1,18/10/68; 28/01/69,2,,,,,,,,,,,,,,,,,,,
"Esposa de Mike; carta muy íntima y confidente, sobre un ""enamorado"", probablemente casado; A Cristina Pacheco",,Hermana_Cristina,22/01/68,,,,1,,,,,,,,,,,,,,,,,,,,,
,Casa de las Américas,Roberto Fernández Retamar,06/68; 28/05/69,,,,2,,,,,,,,,,,,,,,,,,,,,
,Casa de las Américas,Elvio Romero,20/11/61,,,,1,,,,,,,,,,,,,,,,,,,,,
,Alianza Editorial,Manuel Andújar,07/12/68; 07/02/69; 24/02/69; 27/02/69; 11/03/69; 02/04/69; 06/05/69,,,,7,09/06/69,1,,,,,,,,,,,,,,,,,,,
,,Margaret Randall,01/04/69,,,,1,,,,,,,,,,,,,,,,,,,,,
,BBC,Alberto Díaz-Lastra,11/09/67; 20/01/69; 20/06/69,,,,3,04/01/69,1,,,,,,,,,,,,,,,,,,,
"Referencia a una Paloma; misma María Elena que en 1291-5, 26",,María Elena,14/11/68,,,,1,,,,,,,,,,,,,,,,,,,,,
"Carta del 21/11/68, firmada como ""Thomas Chatterton"", poeta que se suicidó a los 17 años",,Tom Raworth,08/01/68; 25/02/68; 21/11/68; 29/12/68; 17/04/69; 17/06/69; 17/08/69; 17/09/69; ,,,,8,20/09/69,1,,,,,,,,,,,,,,,,,,,
,,Val Raworth,18/04/69,,,,1,,,,,,,,,,,,,,,,,,,,,
"""Reenvío de Tito""; primera carta sobre el desastre del 68 en México",,Jean Franco,1968; 12/12/68; 13/05/69,,,FALSE,3,,,,,,,,,,,,,,,,,,,,,
,,José-Miguel Ullán,27/07/68; 17/06/69,,,,2,,,,,,,,,,,,,,,,,,,,,
,The Ford Foundation,Dorothy E. Tanck,21/01/69; 09/07/69; 02/06/69,,,,3,07/03/69,1,,,,,,,,,,,,,,,,,,,
,,Laura Emilia Pacheco,01/69; 17/11/69,,,,2,,,,,,,,,,,,,,,,,,,,,
Escritor ecuatoriano,,Miguel Donoso Pareja,22/01/68,,,,1,,,,,,,,,,,,,,,,,,,,,
,Black Sparrow Press,John Martin,23/12/68; 11/01/69; 28/01/69; 26/02/69; 02/06/69 ,,,,4,31/12/68; 06/03/69,2,,,,,,,,,,,,,,,,,,,
,,Livio Gómez,02/07/69,,,,1,,,,,,,,,,,,,,,,,,,,,
Comprobar firma,,Hugo Gutiérrez Vega,04/07/69,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Miguel Barnet,30/01/69; 01/07/69,,,,2,,,,,,,,,,,,,,,,,,,,,
,Revista Amaru,Blanca Varela,12/02/69,,,,1,,,,,,,,,,,,,,,,,,,,,
Vecinos de JEP en Essex; Sobre las protestas antes del 2 de octubre; ,,Ruth Malther,29/09//68; 15/11/68; 09/03/69,,,,3,,,,,,,,,,,,,,,,,,,,,
,,José Ángel Valente,14/05/69,,,,1,,,,,,,,,,,,,,,,,,,,,
,The University of Iowa,Gordon Brotherston,22/05/69,,,,1,26/05/69,1,,,,,,,,,,,,,,,,,,,
,,Pedro Lastra,23/05/69,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Porfirio Martínez Peñaloza,24/04/69; 20/08/69,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Segundo Guevara D.,09/06/69,,,,1,12/06/69,1,,,,,,,,,,,,,,,,,,,
,,Federico Campbell,09/06/69,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Juan Goytisolo,04/01/69,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Alejo Carpentier,22/03/60,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Rodolfo Usigli,07/02/69; 16/06/69; 04/08/69; 07/08/69,,,,2,05/03/69; 10/08/69; 12/08/69,3,,,,,,,,,,,,,,,,,,,
,University of Iowa,Frederic Will,09/04/69,,,,1,,,,,,,,,,,,,,,,,,,,,
