descripción,institución,autor_destinatario,fecha_original,fecha_completa,fecha_completa,fecha_completa,cantidad,fecha_respuesta,cantidad_r,,,,,,,,,,,,,,,,,,,
"1976, el año más difícil; envíio traducción de Wilde; no le han llegado números de su revista",,Alejandro,,,,,,1976-06-06,1,,,,,,,,,,,,,,,,,,,
"envío una carta en junio 24; libro para Pitol y para él; posibilidad de hacer una revista tipo The New Statesman; ""Plural, Diorama, Revista de Revistas se han quedado literalmente en la calle""",¿Flores Castro?,Mariano,,,,,,1976-07-29,1,,,,,,,,,,,,,,,,,,,
"No se pudieron despedir en Gainesville; envía libro de MB y un ejemplar de ""Islas a la deriva""",,Eileen,,,,,,1977-05-06,1,,,,,,,,,,,,,,,,,,,
Invitación y cheque,,Bárbara Bockus Aponte,,,,,,1976-06-06,1,,,,,,,,,,,,,,,,,,,
,,José-Miguel Ullán ,,,,,,1976-05-18; null,2,,,,,,,,,,,,,,,,,,,
,Guggenheim Foundation,Stephen Schlesinger,,,,,,1970-04-20; null,2,,,,,,,,,,,,,,,,,,,
"Dedicatoria en ""Amor el más oscuro""",,Elsa Cross,,,,,,1971-01-23,1,,,,,,,,,,,,,,,,,,,
,,Félix Grande,,,,,,1976-06-06,1,,,,,,,,,,,,,,,,,,,
Relaciones públicass,"EDUCA, Costa Rica",Julio Escoto,,,,,,1976-10-04,1,,,,,,,,,,,,,,,,,,,
Director ejecutivo,El Colegio de Costa Rica,Carlos Francisco Echeverría,,,,,,1976-10-04,1,,,,,,,,,,,,,,,,,,,
"Chairman, Romance Languages and Literatures",The Ohio State University,Robert D. Cottrell,,,,,,1978-04-28,1,,,,,,,,,,,,,,,,,,,
,The Ohio State University,Micheline Besnard-Coursodon,,,,,,1978-12-04,1,,,,,,,,,,,,,,,,,,,
,University of Utah,Noel Hancock,,,,,,1978-09-20,1,,,,,,,,,,,,,,,,,,,
Saludos a Ronald y Gregory,,Rosario Santos,,,,,,1979-03-19,1,,,,,,,,,,,,,,,,,,,
,,Juan Jesús de Armas Marcelo,,,,,,1979-03-19; 1979-03-19,2,,,,,,,,,,,,,,,,,,,
,,Ítalo López Vallecillos,,,,,,1970-10-24,1,,,,,,,,,,,,,,,,,,,
"""Albita""? su primera espoa /  Bárbara Jacobs, segunda esposa; ; sobre su colaboración con Poniatowska en La noche...",,Vicente Rojo,08/08/70; 09/11/70,,,,2,25/10/70; 05/12/70,2,,,,,,,,,,,,,,,,,,,
,Yale University,Julio Ortega,27/10/70; 05/01/71,,,,3,,,,,,,,,,,,,,,,,,,,,
,Le Monde,Claude Fell,09/09/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,University of Miami,David Hernández,21/09/70,,,,1,07/11/70,1,,,,,,,,,,,,,,,,,,,
,Center fo Advanced Study in the Behavioral Sciences,Joseph Sommers,null,,,,1,06/12/70,1,,,,,,,,,,,,,,,,,,,
"presidente y secretario, respectivamente",Patronato de la Feria Nacional de San Marcos,Juan Morales; J. Jesús Ramírez Gámez,11/02/71,,,,1,,,,,,,,,,,,,,,,,,,,,
,University of Illinois,Luis Leal,23/02/71,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Haroldo de Campos,25/02/70; 28/09/70,,,,2,,,,,,,,,,,,,,,,,,,,,
,The University of Arizona,Jorge M. Pérez Ponce,02/11/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,Librería Ocampo,Ofelia Cervántez de Martínez,29/12/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Fernando Ferreira de Loanda,05/01/71,,,,1,23/01/70,,,,,,,,,,,,,,,,,,,,
,Casa de las Américas,Roberto Fernández Retamar,26/11/70; 14/12/70,,,,2,,,,,,,,,,,,,,,,,,,,,
,,Roque Dalton,16/04/70,,,,1,,,,,,,,,,,,,,,,,,,,,
,The University of British Columbia,Harold Livermore,29/09/70; 13/11/70,,,,2,22/10/70; 05/12/70,2,,,,,,,,,,,,,,,,,,,
,,Cristina Pacheco,null,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Carlos Monsiváis,null,,,,1,31/10/70,1,,,,,,,,,,,,,,,,,,,
